bs,nh,seqlen,dim,latency_ms,tflops,method4,16,512,64,0.020397306871738765,213.85549511165223,SDP.cudnn
4,16,1024,64,0.04531857287762938,385.0144329812515,SDP.cudnn
4,16,2048,64,0.14264951055839067,489.2636384576417,SDP.cudnn
4,16,4096,64,0.5215516094027496,535.273727866917,SDP.cudnn
4,16,8448,64,2.1399658970210864,554.9505420685206,SDP.cudnn
4,16,16384,64,7.679111957550049,581.6774143328262,SDP.cudnn
4,16,512,128,0.026851857630653578,322.4001696671176,SDP.cudnn
4,16,1024,128,0.06402384242175743,540.8637237966242,SDP.cudnn
4,16,2048,128,0.21578206696094723,641.910132972581,SDP.cudnn
4,16,4096,128,0.8571488867818782,646.3880309804233,SDP.cudnn
4,16,8448,128,3.6072234789530437,653.3778942856233,SDP.cudnn
4,16,16384,128,13.425147329057966,660.3139825331092,SDP.cudnn
